ep_rew,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,experiment_tag
313.73227101000003,37.436535120010376,False,,,22,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-50-20,1607925020,811.8435091972351,46818,newton.cs.purdue.edu,128.10.8.32,811.8435091972351,0,22,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
331.48069935000007,37.5480010509491,False,,,23,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-50-58,1607925058,849.3915102481842,46818,newton.cs.purdue.edu,128.10.8.32,849.3915102481842,0,23,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
349.26456626,36.619667530059814,False,,,24,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-51-34,1607925094,886.011177778244,46818,newton.cs.purdue.edu,128.10.8.32,886.011177778244,0,24,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
367.06954585,35.43067502975464,False,,,25,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-52-10,1607925130,921.4418528079987,46818,newton.cs.purdue.edu,128.10.8.32,921.4418528079987,0,25,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
375.9800344900001,35.5469183921814,False,,,26,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-52-45,1607925165,956.98877120018,46818,newton.cs.purdue.edu,128.10.8.32,956.98877120018,0,26,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
384.88279867,35.824156522750854,False,,,27,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-53-21,1607925201,992.8129277229309,46818,newton.cs.purdue.edu,128.10.8.32,992.8129277229309,0,27,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
402.58701550999996,35.4060959815979,False,,,28,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-53-56,1607925236,1028.2190237045288,46818,newton.cs.purdue.edu,128.10.8.32,1028.2190237045288,0,28,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
420.353433,34.637354135513306,False,,,29,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-54-31,1607925271,1062.8563778400421,46818,newton.cs.purdue.edu,128.10.8.32,1062.8563778400421,0,29,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
438.1492410800001,34.290541648864746,False,,,30,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-55-05,1607925305,1097.1469194889069,46818,newton.cs.purdue.edu,128.10.8.32,1097.1469194889069,0,30,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
455.8646304,32.0394971370697,False,,,31,790d7533ff6a4974b7eb7619d384da48,2020-12-14_00-55-37,1607925337,1129.1864166259766,46818,newton.cs.purdue.edu,128.10.8.32,1129.1864166259766,0,31,58d66_00046,"46_batch_size=256,clip_range=0.1739,gae_lambda=0.95482,gamma=0.96686,n_epochs=7,n_steps=4096,vf_coef=0.73009"
